,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,18,21,Female
1,2,3,18,21,Female
2,3,5,18,21,Female
3,4,2,18,21,Female
4,5,2,18,21,Female
5,6,4,18,21,Female
6,7,4,18,21,Female
7,8,1,18,21,Female
8,9,3,18,21,Female
9,10,2,18,21,Female
10,11,2,18,21,Female
11,12,3,18,21,Female
12,13,4,18,21,Female
13,14,1,18,21,Female
14,15,3,18,21,Female
15,16,3,18,21,Female
16,17,0,18,21,Female
17,18,1,18,21,Female
18,19,4,18,21,Female
19,20,0,18,21,Female
20,21,3,18,21,Female
21,22,3,18,21,Female
