,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,12,24,Female
1,2,2,12,24,Female
2,3,3,12,24,Female
3,4,2,12,24,Female
4,5,2,12,24,Female
5,6,3,12,24,Female
6,7,3,12,24,Female
7,8,3,12,24,Female
8,9,3,12,24,Female
9,10,3,12,24,Female
10,11,2,12,24,Female
11,12,2,12,24,Female
12,13,3,12,24,Female
13,14,2,12,24,Female
14,15,2,12,24,Female
15,16,2,12,24,Female
16,17,2,12,24,Female
17,18,2,12,24,Female
18,19,2,12,24,Female
19,20,2,12,24,Female
20,21,3,12,24,Female
21,22,2,12,24,Female
