,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,16,21,Female
1,2,1,16,21,Female
2,3,5,16,21,Female
3,4,4,16,21,Female
4,5,3,16,21,Female
5,6,3,16,21,Female
6,7,2,16,21,Female
7,8,3,16,21,Female
8,9,2,16,21,Female
9,10,3,16,21,Female
10,11,1,16,21,Female
11,12,0,16,21,Female
12,13,3,16,21,Female
13,14,3,16,21,Female
14,15,2,16,21,Female
15,16,1,16,21,Female
16,17,2,16,21,Female
17,18,4,16,21,Female
18,19,3,16,21,Female
19,20,0,16,21,Female
20,21,2,16,21,Female
21,22,2,16,21,Female
