,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,14,25,Female
1,2,2,14,25,Female
2,3,4,14,25,Female
3,4,2,14,25,Female
4,5,2,14,25,Female
5,6,3,14,25,Female
6,7,2,14,25,Female
7,8,3,14,25,Female
8,9,3,14,25,Female
9,10,3,14,25,Female
10,11,2,14,25,Female
11,12,1,14,25,Female
12,13,3,14,25,Female
13,14,4,14,25,Female
14,15,4,14,25,Female
15,16,1,14,25,Female
16,17,4,14,25,Female
17,18,1,14,25,Female
18,19,3,14,25,Female
19,20,1,14,25,Female
20,21,1,14,25,Female
21,22,4,14,25,Female
