,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,10,26,Female
1,2,3,10,26,Female
2,3,5,10,26,Female
3,4,2,10,26,Female
4,5,3,10,26,Female
5,6,3,10,26,Female
6,7,3,10,26,Female
7,8,0,10,26,Female
8,9,3,10,26,Female
9,10,4,10,26,Female
10,11,1,10,26,Female
11,12,3,10,26,Female
12,13,5,10,26,Female
13,14,1,10,26,Female
14,15,4,10,26,Female
15,16,0,10,26,Female
16,17,2,10,26,Female
17,18,2,10,26,Female
18,19,2,10,26,Female
19,20,0,10,26,Female
20,21,5,10,26,Female
21,22,2,10,26,Female
