,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,2,50,22,Female
1,2,2,50,22,Female
2,3,5,50,22,Female
3,4,2,50,22,Female
4,5,2,50,22,Female
5,6,4,50,22,Female
6,7,4,50,22,Female
7,8,1,50,22,Female
8,9,2,50,22,Female
9,10,1,50,22,Female
10,11,1,50,22,Female
11,12,2,50,22,Female
12,13,2,50,22,Female
13,14,2,50,22,Female
14,15,2,50,22,Female
15,16,1,50,22,Female
16,17,0,50,22,Female
17,18,2,50,22,Female
18,19,3,50,22,Female
19,20,0,50,22,Female
20,21,3,50,22,Female
21,22,1,50,22,Female
