,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,28,23,Female
1,2,1,28,23,Female
2,3,5,28,23,Female
3,4,1,28,23,Female
4,5,1,28,23,Female
5,6,5,28,23,Female
6,7,4,28,23,Female
7,8,0,28,23,Female
8,9,1,28,23,Female
9,10,2,28,23,Female
10,11,0,28,23,Female
11,12,0,28,23,Female
12,13,5,28,23,Female
13,14,0,28,23,Female
14,15,1,28,23,Female
15,16,0,28,23,Female
16,17,1,28,23,Female
17,18,1,28,23,Female
18,19,0,28,23,Female
19,20,0,28,23,Female
20,21,4,28,23,Female
21,22,0,28,23,Female
