,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,64,20,Female
1,2,1,64,20,Female
2,3,4,64,20,Female
3,4,0,64,20,Female
4,5,0,64,20,Female
5,6,4,64,20,Female
6,7,4,64,20,Female
7,8,1,64,20,Female
8,9,1,64,20,Female
9,10,2,64,20,Female
10,11,2,64,20,Female
11,12,0,64,20,Female
12,13,4,64,20,Female
13,14,3,64,20,Female
14,15,1,64,20,Female
15,16,0,64,20,Female
16,17,0,64,20,Female
17,18,2,64,20,Female
18,19,1,64,20,Female
19,20,0,64,20,Female
20,21,5,64,20,Female
21,22,3,64,20,Female
