,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,54,18,Female
1,2,1,54,18,Female
2,3,3,54,18,Female
3,4,0,54,18,Female
4,5,0,54,18,Female
5,6,4,54,18,Female
6,7,5,54,18,Female
7,8,1,54,18,Female
8,9,3,54,18,Female
9,10,2,54,18,Female
10,11,1,54,18,Female
11,12,0,54,18,Female
12,13,5,54,18,Female
13,14,1,54,18,Female
14,15,3,54,18,Female
15,16,1,54,18,Female
16,17,1,54,18,Female
17,18,4,54,18,Female
18,19,3,54,18,Female
19,20,0,54,18,Female
20,21,4,54,18,Female
21,22,1,54,18,Female
