,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,2,62,22,Female
1,2,1,62,22,Female
2,3,4,62,22,Female
3,4,2,62,22,Female
4,5,1,62,22,Female
5,6,4,62,22,Female
6,7,3,62,22,Female
7,8,1,62,22,Female
8,9,3,62,22,Female
9,10,1,62,22,Female
10,11,0,62,22,Female
11,12,3,62,22,Female
12,13,3,62,22,Female
13,14,2,62,22,Female
14,15,0,62,22,Female
15,16,0,62,22,Female
16,17,0,62,22,Female
17,18,2,62,22,Female
18,19,1,62,22,Female
19,20,0,62,22,Female
20,21,1,62,22,Female
21,22,2,62,22,Female
