,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,56,22,Female
1,2,3,56,22,Female
2,3,5,56,22,Female
3,4,2,56,22,Female
4,5,1,56,22,Female
5,6,4,56,22,Female
6,7,1,56,22,Female
7,8,1,56,22,Female
8,9,4,56,22,Female
9,10,5,56,22,Female
10,11,1,56,22,Female
11,12,0,56,22,Female
12,13,0,56,22,Female
13,14,2,56,22,Female
14,15,2,56,22,Female
15,16,3,56,22,Female
16,17,0,56,22,Female
17,18,1,56,22,Female
18,19,4,56,22,Female
19,20,0,56,22,Female
20,21,1,56,22,Female
21,22,1,56,22,Female
