,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,24,25,Female
1,2,0,24,25,Female
2,3,5,24,25,Female
3,4,0,24,25,Female
4,5,0,24,25,Female
5,6,5,24,25,Female
6,7,5,24,25,Female
7,8,1,24,25,Female
8,9,2,24,25,Female
9,10,1,24,25,Female
10,11,0,24,25,Female
11,12,2,24,25,Female
12,13,3,24,25,Female
13,14,0,24,25,Female
14,15,0,24,25,Female
15,16,0,24,25,Female
16,17,2,24,25,Female
17,18,3,24,25,Female
18,19,2,24,25,Female
19,20,0,24,25,Female
20,21,3,24,25,Female
21,22,2,24,25,Female
