,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,2,22,23,Female
1,2,1,22,23,Female
2,3,4,22,23,Female
3,4,0,22,23,Female
4,5,1,22,23,Female
5,6,3,22,23,Female
6,7,3,22,23,Female
7,8,0,22,23,Female
8,9,3,22,23,Female
9,10,1,22,23,Female
10,11,1,22,23,Female
11,12,0,22,23,Female
12,13,2,22,23,Female
13,14,1,22,23,Female
14,15,0,22,23,Female
15,16,1,22,23,Female
16,17,0,22,23,Female
17,18,3,22,23,Female
18,19,3,22,23,Female
19,20,0,22,23,Female
20,21,3,22,23,Female
21,22,2,22,23,Female
