,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,34,23,Female
1,2,2,34,23,Female
2,3,5,34,23,Female
3,4,5,34,23,Female
4,5,5,34,23,Female
5,6,1,34,23,Female
6,7,1,34,23,Female
7,8,1,34,23,Female
8,9,3,34,23,Female
9,10,4,34,23,Female
10,11,4,34,23,Female
11,12,1,34,23,Female
12,13,2,34,23,Female
13,14,3,34,23,Female
14,15,3,34,23,Female
15,16,3,34,23,Female
16,17,1,34,23,Female
17,18,3,34,23,Female
18,19,3,34,23,Female
19,20,0,34,23,Female
20,21,1,34,23,Female
21,22,3,34,23,Female
