,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,0,20,21,Female
1,2,1,20,21,Female
2,3,5,20,21,Female
3,4,2,20,21,Female
4,5,2,20,21,Female
5,6,1,20,21,Female
6,7,4,20,21,Female
7,8,0,20,21,Female
8,9,0,20,21,Female
9,10,0,20,21,Female
10,11,0,20,21,Female
11,12,0,20,21,Female
12,13,5,20,21,Female
13,14,0,20,21,Female
14,15,2,20,21,Female
15,16,0,20,21,Female
16,17,0,20,21,Female
17,18,3,20,21,Female
18,19,0,20,21,Female
19,20,0,20,21,Female
20,21,3,20,21,Female
21,22,0,20,21,Female
