,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,30,24,Female
1,2,1,30,24,Female
2,3,5,30,24,Female
3,4,3,30,24,Female
4,5,2,30,24,Female
5,6,4,30,24,Female
6,7,2,30,24,Female
7,8,1,30,24,Female
8,9,3,30,24,Female
9,10,4,30,24,Female
10,11,2,30,24,Female
11,12,1,30,24,Female
12,13,2,30,24,Female
13,14,3,30,24,Female
14,15,2,30,24,Female
15,16,1,30,24,Female
16,17,1,30,24,Female
17,18,4,30,24,Female
18,19,3,30,24,Female
19,20,1,30,24,Female
20,21,2,30,24,Female
21,22,2,30,24,Female
